ID_neurona,rata,sesion,mean_rate,std_rate,firing_rate,ISI_peak_time,ISI_index,ISI_ratio,CV,CV2,peak_time_ccg,potencia_tot,ancho_banda,frec_dominante,pot_frec_dominante,pot_rango_freq,AUC,AUC_depol,AUC_repol,AUC_asimetria,wf_invertida,asimetria,value_min,value_max_1,value_max_2,duracion,dur_1max_min,dur_2max_min,dur_1max_2max,pendiente_depol,pendiente_repol,proporcion_energia,clu_metric_error,tetrodo,type,calidad,estructura,estructura_fina,m_pre,m_post,DA,ISI_time,ID,peak_ratio,peak_amplitude,slope_ratio,power_ratio,AUC_tiempo_tot
545,15,11,0.402753078821012,0.316455042395295,3.57017467277427,10.0,1.343369420619,0.0095536016232668,1.63,1.0,6.8,4615665.61,5085.26,2457,907.48,1141277.12,3276073.52,0.92,1.08,1.17,0,-5.72574262575552,-1.0,0.328897681011426,0.172375447249648,0.143520106231998,0.18,0.28,0.46,-0.221482946835236,0.130263938583294,1.11,,2,SU,2,VTA,,,,2.0,10.0,545,0.7525033825319783,0.5050067650639567,,0.0007945125507733163,2.0
546,15,11,0.344443185450682,0.209571629408182,11.6180830039541,12.0,0.800953922551018,0.0151456108902917,2.3,0.95,11.0,6943542.2,8310.47,1678,835.42,3753696.81,5106442.69,1.41,1.47,1.04,0,4.82710858506151,-0.611557603715952,4.18596889855576,0.0999030691542409,0.724681586314624,0.74,1.41,2.15,-0.199896937594655,0.0154665363667433,6.63,,2,SU,2,VTA,,,,2.0,12.0,546,0.12747352274685064,-0.7450529545062986,,0.0002225097425785049,2.88
547,15,11,0.586307937637112,0.267201687143587,25.7922408497143,92.0,0.837485249249955,0.0362408724957873,3.59,0.76,5.6,4050317.01,6189.33,2102,654.3,1131200.59,2905807.91,1.17,0.83,0.71,0,4.66144656959755,-1.0,2.16004939744057,0.0193944145049484,0.111117780033881,0.25,1.87,2.12,-0.395006174680068,0.0167113838443434,5.91,,2,SU,2,VTA,,,,2.0,5.6,547,0.3164507494123141,-0.3670985011753718,,0.0005780776367896417,2.0
548,15,11,0.539925748316376,0.313326499637476,3.96826921951442,20.0,1.122164642684,0.0054765345706244,1.31,0.98,3.6,5181809.96,8751.51,1411,592.04,2902013.07,3881396.68,1.51,1.69,1.12,0,-3.90226990708191,-1.0,0.0670256520930402,0.331018559282448,0.219861636515351,0.46,0.37,0.83,-0.0711350434728693,0.110918213273537,1.17,,2,SU,2,VTA,,,,2.0,20.0,548,0.7513043248165525,0.502608649633105,,0.00020396849642423457,3.2
549,15,11,0.323719251855658,0.102293755110596,1.50817168313915,142.0,0.0,0.0,12.14,0.64,20.2,1562618.33,7192.89,2333,217.21,490990.54,1008076.46,1.11,1.2,1.08,0,4.78224215594498,-1.0,2.91073700779899,0.102914609058473,0.503333792713764,0.18,0.8,0.98,-0.651789501299831,0.0424197926560952,3.55,,2,SU,2,VTA,,,,2.0,142.0,549,0.2557062768490311,-0.48858744630193784,,0.00044219579190271326,2.31
550,15,11,0.264694092400639,0.156952992962646,6.29164436796452,30.0,0.39656605667309,0.0013432477812425,1.16,0.73,3.6,4986892.78,5813.12,2415,857.72,1221922.77,3488695.05,0.95,1.2,1.26,0,-4.86084852641889,-1.0,0.178569222187875,0.344270348737711,0.142973972182523,0.15,0.28,0.43,-0.235713844437575,0.149363372081967,1.21,,2,SU,2,VTA,,,,2.0,30.0,550,0.7438979822317842,0.48779596446356827,,0.0007014505113669257,2.15
551,15,11,0.723705555026663,0.119041846004318,5.99224346548823,16.0,2.23357444478763,0.0389865511509596,5.31,0.98,14.6,5561781.87,5026.15,3242,1106.35,2865330.52,3790124.74,1.32,1.01,0.77,0,-4.14762014882999,-0.795543910699236,0.315768984713307,0.190349014850309,0.114864876825469,0.15,0.34,0.49,-0.222262579082508,0.089626629595413,1.35,,2,SU,2,VTA,,,,2.0,16.0,551,0.715859515338309,0.43171903067661815,,0.0003859669862535643,2.33
552,15,11,0.503243267750967,0.283151067492157,10.7195784810993,8.0,1.65199339259383,0.0278747606712468,3.48,0.95,14.0,1967108.29,5361.83,3789,366.8,600307.52,1369736.44,0.98,1.04,1.06,0,2.4711013052152,-1.0,1.55048981220957,0.108850998992223,0.317421158839088,0.15,0.86,1.01,-0.510097962441913,0.0396018213925793,2.14,,2,SU,2,VTA,,,,2.0,14.0,552,0.3920815504586032,-0.21583689908279355,,0.0006106470474715815,2.02
553,15,11,0.49369751563658,0.289783684512964,3.19320720584595,144.0,0.0,0.0,0.83,0.71,12.8,12811348.09,9425.51,1229,1359.08,7817550.48,9735873.85,1.63,1.81,1.11,0,4.22903026450147,-0.996688271081642,4.02499962438075,0.14360341978875,0.640102013672964,0.55,1.41,1.97,-0.278982660859022,0.0247889498015303,4.61,,3,SU,1,VTA,,,,2.0,144.0,553,0.19847674563412268,-0.6030465087317546,,0.0001738196342560074,3.44
554,15,11,0.44402550144784,0.287777139641899,0.967922070807936,22.0,1.72582231632296,0.0024953212726138,1.21,1.03,16.0,2207585.26,9144.69,1088,241.38,1381037.9,1713687.79,1.72,2.03,1.18,0,-2.59662280356046,-1.0,0.0682809777843629,0.482671328551826,0.267388213580256,0.46,0.43,0.89,-0.0712187318522908,0.105905094896559,1.24,,3,SU,1,VTA,,,,2.0,22.0,554,0.6744583109843588,0.3489166219687177,,0.00017475104672532265,3.75
